sport,country,league,season,team,overall_rank,home_rank,home_mp,home_w,home_wo,home_lo,home_d,home_l,home_gf,home_ga,home_pts,away_rank,away_mp,away_w,away_wo,away_lo,away_d,away_l,away_gf,away_ga,away_pts,scraped_date
football,World,Viareggio Cup,2019,UYSS New York U19,4,4,3,1,,,0,2,2,7,3,4,3,1,,,0,2,2,7,3,2020-12-15
football,World,Viareggio Cup,2019,Bologna U19,1,1,3,3,,,0,0,7,2,9,1,3,3,,,0,0,7,2,9,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Russia U18,1,1,3,3,,,0,0,7,0,9,1,3,3,,,0,0,7,0,9,2020-12-15
football,World,Viareggio Cup,2019,Club Brugge U19,2,2,3,2,,,0,1,11,4,6,2,3,2,,,0,1,11,4,6,2020-12-15
football,World,Viareggio Cup,2019,Viareggio U19,3,3,3,1,,,0,2,3,11,3,3,3,1,,,0,2,3,11,3,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Moldova U18,2,2,3,1,,,1,1,2,2,4,2,3,1,,,1,1,2,2,4,2020-12-15
football,World,Viareggio Cup,2019,Ternana U19,4,4,3,0,,,0,3,3,7,0,4,3,0,,,0,3,3,7,0,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Bulgaria U18,3,3,3,0,,,2,1,1,4,2,3,3,0,,,2,1,1,4,2,2020-12-15
football,World,Viareggio Cup,2019,Athletico-PR U19,1,1,3,3,,,0,0,9,3,9,1,3,3,,,0,0,9,3,9,2020-12-15
football,World,Viareggio Cup,2019,Torino U19,2,2,3,2,,,0,1,11,3,6,2,3,2,,,0,1,11,3,6,2020-12-15
football,World,Valentin Granatkin Memorial,2019,India U18,4,4,3,0,,,1,2,2,6,1,4,3,0,,,1,2,2,6,1,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Turkey U18,1,1,3,2,,,1,0,6,0,7,1,3,2,,,1,0,6,0,7,2020-12-15
football,World,Viareggio Cup,2019,Rieti U19,3,3,3,1,,,0,2,6,7,3,3,3,1,,,0,2,6,7,3,2020-12-15
football,World,Viareggio Cup,2019,Norchi Tbilisi U19,4,4,3,0,,,0,3,3,16,0,4,3,0,,,0,3,3,16,0,2020-12-15
football,World,Valentin Granatkin Memorial,2019,Greece U18,2,2,3,1,,,2,0,8,5,5,2,3,1,,,2,0,8,5,5,2020-12-15
