sport,country,league
football,Spain,Super Cup Women
football,South Korea,K League 1
football,South Korea,K League 2
football,South Korea,K3 League
football,South Korea,League Cup
football,South Korea,Korean Cup
football,South Korea,WK League Women
football,South Africa,Premier League
football,South Africa,GladAfrica Championship
football,South Africa,Diski Challenge
football,South Africa,Nedbank Cup
football,South Africa,Telkom Knockout
football,South Africa,MTN 8 Cup
football,South Africa,Multichoice Diski Shield
football,Somalia,Nation Link Telecom Championship
football,Slovenia,Prva liga
football,Slovenia,2. SNL
football,Slovenia,3. SNL - East
football,Slovenia,3. SNL - West
football,Slovenia,Slovenian Cup
football,Slovenia,Super Cup
football,Slovenia,1. SZNL Women
football,Slovakia,Fortuna liga
football,Slovakia,2. liga
football,Slovakia,Divison C West
football,Slovakia,Divison C East
football,Slovakia,Divison C Central
football,Singapore,Premier League
football,Slovakia,Divison C Bratislava
football,Slovakia,Slovak Cup
football,Slovakia,Super Cup
football,Slovakia,1. Liga Women
football,Singapore,Singapore Cup
football,Singapore,Singapore Community Shield
football,Sierra Leone,Premier League
football,Seychelles,First Division League
football,Seychelles,Special Competition
football,Serbia,Super Liga
football,Serbia,Prva Liga
football,Serbia,Srpska Liga - Belgrade
football,Serbia,Srpska Liga - Vojvodina
football,Serbia,Srpska Liga - East
football,Serbia,Srpska Liga - West
football,Serbia,Serbian Cup
football,Senegal,Ligue 1
football,Scotland,Premiership
football,Scotland,Championship
football,Scotland,League One
football,Scotland,League Two
football,Scotland,Lowland League
football,Scotland,Highland League
football,Scotland,Challenge Cup
football,Scotland,Scottish Cup
football,Scotland,League Cup
football,Scotland,SWPL 1 Women
football,Scotland,Scottish Cup Women
football,Scotland,SWPL Cup Women
football,Saudi Arabia,Saudi Professional League
football,Saudi Arabia,Division 1
football,Saudi Arabia,King Cup
football,Saudi Arabia,Super Cup
football,San Marino,Campionato Sammarinese
football,San Marino,Coppa Titano
football,San Marino,Super Cup
football,Rwanda,Premier League
football,Russia,Premier League
football,Russia,FNL
football,Russia,PFL - Group 1
football,Russia,PFL - Group 2
football,Russia,PFL - Group 3
football,Russia,PFL - Group 4
football,Russia,Youth League
football,Russia,Russian Cup
football,Russia,Super Cup
football,Russia,Supreme Division Women
football,Russia,FNL Cup
football,Romania,Liga 1
football,Romania,Liga 2
football,Romania,Liga 3 - Seria 1
football,Romania,Liga 3 - Seria 2
football,Romania,Liga 3 - Seria 3
football,Romania,Liga 3 - Seria 4
football,Romania,Liga 3 - Seria 5
football,Romania,Liga 3 - Seria 6
football,Romania,Liga 3 - Seria 7
football,Romania,Liga 3 - Seria 8
football,Romania,Liga 3 - Seria 9
football,Romania,Liga 3 - Seria 10
football,Romania,Romanian Cup
football,Romania,Super Cup
football,Romania,Superliga Women
football,Romania,Romanian Cup Women
football,Réunion,Regionale 1
football,Republic of the Congo,Ligue 1
football,Qatar,QSL
football,Qatar,Division 2
football,Qatar,QSL Cup
football,Qatar,Sheikh Jassim Cup
football,Qatar,Crown Prince Cup
football,Portugal,Primeira Liga
football,Portugal,Liga Portugal 2
football,Portugal,Campeonato de Portugal
football,Portugal,Super Cup
football,Portugal,Taça de Portugal
football,Portugal,League Cup
football,Portugal,Liga Revelacao U23
football,Portugal,Liga BPI Women
football,Portugal,Taça de Portugal Women
football,Portugal,Taça da Liga Women
football,Portugal,Super Cup Women
football,Poland,Ekstraklasa
football,Poland,Division 1
football,Poland,Division 2
football,Poland,III Liga - Group I
football,Poland,III Liga - Group II
football,Poland,III Liga - Group III
football,Poland,III Liga - Group IV
football,Poland,Polish Cup
football,Poland,Super Cup
football,Poland,Central Youth League
football,Poland,Ekstraliga Women
football,Poland,Polish Cup Women
football,Philippines,PFL
football,Philippines,Copa Paulino Alcantara
football,Peru,Liga 1
football,Peru,Liga 2
football,Peru,Copa Bicentenario
football,Peru,Copa Peru
football,Peru,Supercopa Peruana
football,Paraguay,Primera Division
football,Paraguay,Division Intermedia
football,Paraguay,Copa Paraguay
football,Panama,LPF
football,Palestine,West Bank League
football,Pakistan,Premier League
football,Oman,Professional League
football,Oman,Sultan Cup
football,Oman,Super Cup
football,Norway,Eliteserien
football,Norway,OBOS-ligaen
football,Norway,Division 2 - Group 1
football,Norway,Division 2 - Group 2
football,Norway,Division 3 - Group 1
football,Norway,Division 3 - Group 2
football,Norway,Division 3 - Group 3
football,Norway,Division 3 - Group 4
football,Norway,Division 3 - Group 5
football,Norway,Division 3 - Group 6
football,Norway,NM Cup
football,Norway,Super Cup
football,Norway,Junior U19
football,Norway,Junior Elite Tournament
football,Norway,Toppserien Women
football,Norway,Norway Cup Women
football,North Macedonia,1. MFL
football,North Macedonia,2. MFL
football,North Macedonia,Macedonian Cup
football,North Macedonia,Super Cup
football,Northern Ireland,NIFL Premiership
football,Northern Ireland,NIFL Championship
football,Northern Ireland,Irish Cup
football,Northern Ireland,Irish League Cup
football,Northern Ireland,Charity Shield
football,Northern Ireland,Premiership Women
football,Nigeria,NPFL
football,Nigeria,NPFL Pre-season
football,Nigeria,NNL
football,Nigeria,Aiteo Cup
football,Nigeria,Super Cup
football,Niger,Ligue 1
football,Nicaragua,Liga Primera
football,Nicaragua,Liga Primera U20
football,New Zealand,Football Championship
football,New Zealand,National League Women
football,Netherlands,Eredivisie
football,Netherlands,Eerste Divisie
football,Netherlands,Tweede Divisie
football,Netherlands,Derde Divisie
football,Netherlands,KNVB Beker
football,Netherlands,Super Cup
football,Netherlands,Divisie 1 U21
football,Netherlands,Divisie 1 U18
football,Netherlands,Eredivisie Women
football,Netherlands,KNVB Beker Women
football,Netherlands,Eredivisie Cup Women
football,Namibia,MTC Premiership
football,Myanmar,National League
football,Mozambique,Mocambola
football,Morocco,Botola Pro
football,Morocco,Botola 2
football,Morocco,Coupe du Trone
football,Montenegro,Prva Crnogorska Liga
football,Montenegro,Druga Liga
football,Montenegro,Montenegrin Cup
football,Mongolia,Premier League
football,Moldova,Divizia Nationala
football,Moldova,Moldovan Cup
football,Moldova,Super Cup
football,Mexico,Liga MX
football,Mexico,Liga de Expansion MX
football,Mexico,Liga Premier Serie A
football,Mexico,Liga Premier Serie B
football,Mexico,Copa Mexico
football,Mexico,Copa por Mexico
football,Mexico,Campeón de Campeones
football,Mexico,Liga MX Women
football,Mauritius,Mauritian League
football,Mauritania,Ligue 1
football,Malta,Premier League
football,Malta,Division 1
football,Malta,FA Trophy
football,Malta,Super Cup
football,Malta,Summer Cup
football,Mali,Premiere Division
football,Maldives,Dhivehi Premier League
football,Maldives,Male League
football,Malaysia,Super League
football,Malaysia,Premier League
football,Malaysia,Malaysia Cup
football,Malaysia,FA Cup
football,Malaysia,Piala Sumbangsih
football,Malawi,Super League
football,Macao,Elite League
football,Luxembourg,National Division
football,Luxembourg,Luxembourg Cup
football,Lithuania,A Lyga
football,Lithuania,I Lyga
football,Lithuania,Lithuanian Cup
football,Lithuania,Super Cup
football,Liechtenstein,Liechtenstein Cup
football,Libya,Premier League
football,Liberia,LFA First Division
football,Lesotho,Premier League
football,Lebanon,Premier League
football,Lebanon,Super Cup
football,Latvia,Optibet Virsliga
football,Latvia,1. Liga
football,Latvia,Latvian Cup
football,Latvia,League Cup
football,Laos,Lao League
football,Kyrgyzstan,Premier Liga
football,Kuwait,Premier League
football,Kuwait,Crown Prince Cup
football,Kuwait,Emir Cup
football,Kuwait,Super Cup
football,Kosovo,Superliga
football,Kosovo,Kosovar Cup
football,Kosovo,Super Cup
football,Kenya,Premier League
football,Kazakhstan,Premier League
football,Kazakhstan,First Division
football,Kazakhstan,Super Cup
football,Kazakhstan,Kazakhstan Cup
football,Jordan,Premier League
football,Jordan,Jordan Cup
football,Jordan,Shield Cup
football,Jordan,Super Cup
football,Japan,J1 League
football,Japan,J2 League
football,Japan,J3 League
football,Japan,YBC Levain Cup
football,Japan,Emperors Cup
football,Japan,Super Cup
football,Japan,J Youth Cup
football,Japan,Nadeshiko League Women
football,Japan,Empress's Cup Women
football,Jamaica,Premier League
football,Ivory Coast,Ligue 1
football,Italy,Serie A
football,Italy,Serie B
football,Italy,Serie C - Group A
football,Italy,Serie C - Group B
football,Italy,Serie C - Group C
