sport,country,league,season,match_time,home_team,away_team,scraped_date
football,Ukraine,Persha Liga,2020/2021,05.03. 06:00,Ch. Odessa,Kramatorsk,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Desna U21,Olimpik Donetsk U21,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Dnipro-1 U21,Lviv U21,2020-12-15
football,Ukraine,Persha Liga,2020/2021,05.03. 08:00,Obolon,VPK-Agro,2020-12-15
football,Ukraine,Persha Liga,2020/2021,12.03. 06:00,Ch. Odessa,Volyn Lutsk,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Mariupol U21,Inhulets U21,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Minaj U21,Kolos Kovalivka U21,2020-12-15
football,Ukraine,Druha Liga,2020/2021,14.03. 08:00,Uzhhorod,Dunaivtsi,2020-12-15
football,Ukraine,Persha Liga,2020/2021,12.03. 06:00,Hirnyk-Sport,Prykarpattya,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Oleksandriya U21,Dynamo Kiev U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,Dnipro-1,Inhulets,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Balkany,Nikopol,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Bukovyna,Obolon 2,2020-12-15
football,Ukraine,Persha Liga,2020/2021,12.03. 06:00,Obolon,Veres-Rivne,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Rukh Lviv U21,Zorya U21,2020-12-15
football,Ukraine,Youth League,2020/2021,02.04. 05:00,Shakhtar Donetsk U21,Vorskla Poltava U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,Dyn. Kyiv,Olimpik Donetsk,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Chernihiv,Karpaty Halych,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Dinaz Vyshgorod,Chaika,2020-12-15
football,Ukraine,Persha Liga,2020/2021,15.03. 07:00,Metalist 1925,Alliance,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Desna U21,Oleksandriya U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,FK Zorya Luhansk,Desna,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,Kolos Kovalivka,Shakhtar Donetsk,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Kryvbas 2020,Dnipro Cherkasy,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Alliance,Nyva Ternopil,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Dynamo Kiev U21,Dnipro-1 U21,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Mariupol U21,Shakhtar Donetsk U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,Mariupol,Oleksandriya,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Metal Kharkiv,Cherkashchyna,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,MFC Metalurh,Real Pharma,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Hirnyk-Sport,Ch. Odessa,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Olimpik Donetsk U21,Kolos Kovalivka U21,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Rukh Lviv U21,Minaj U21,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,Minaj,Lviv,2020-12-15
football,Ukraine,Premier League,2020/2021,13.02. 07:00,Rukh Lviv,Vorskla Poltava,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Nova Kakhovka,Peremoga Dnipro,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Kramatorsk,Kremin,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Vorskla Poltava U21,Lviv U21,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Desna,Dyn. Kyiv,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Inhulets,Vorskla Poltava,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Nyva Vinnytsya,Karpaty,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Podillya Khmelnytskyi,Dunaivtsi,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Krystal,Ahrobiznes Volochysk,2020-12-15
football,Ukraine,Youth League,2020/2021,09.04. 05:00,Zorya U21,Inhulets U21,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Inhulets U21,Rukh Lviv U21,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Lviv,Kolos Kovalivka,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Uzhhorod,Volyn Lutsk 2,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Metalist 1925,Mykolaiv,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Prykarpattya,Obolon,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Kolos Kovalivka U21,Dnipro-1 U21,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Lviv U21,Oleksandriya U21,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Mariupol U21,Olimpik Donetsk U21,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Mariupol,FK Zorya Luhansk,2020-12-15
football,Ukraine,Druha Liga,2020/2021,19.03. 08:00,Yarud Mariupol,Mykolaiv 2,2020-12-15
football,Ukraine,Druha Liga,2020/2021,23.03. 08:00,Bukovyna,Rubikon Kyiv,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Veres-Rivne,Zhytomyr,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Minaj U21,Desna U21,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Shakhtar Donetsk U21,Dynamo Kiev U21,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Oleksandriya,Minaj,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Olimpik Donetsk,Dnipro-1,2020-12-15
football,Ukraine,Druha Liga,2020/2021,23.03. 08:00,Dnipro Cherkasy,Nova Kakhovka,2020-12-15
football,Ukraine,Persha Liga,2020/2021,19.03. 08:30,Volyn Lutsk,VPK-Agro,2020-12-15
football,Ukraine,Youth League,2020/2021,16.04. 05:00,Vorskla Poltava U21,Zorya U21,2020-12-15
football,Ukraine,Premier League,2020/2021,20.02. 07:00,Shakhtar Donetsk,Rukh Lviv,2020-12-15
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Desna,Inhulets,2020-12-15
football,Ukraine,Druha Liga,2020/2021,23.03. 08:00,Yarud Mariupol,Nikopol,2020-12-15
football,Ukraine,Druha Liga,2020/2021,24.03. 08:00,Balkany,Dnipro Cherkasy,2020-12-15
football,Ukraine,Druha Liga,2020/2021,24.03. 08:00,MFC Metalurh,Cherkashchyna,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Ahrobiznes Volochysk,Metalist 1925,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Ch. Odessa,Obolon,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Dnipro-1 U21,Minaj U21,2020-12-15
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Kolos Kovalivka,Rukh Lviv,2020-12-15
football,Ukraine,Druha Liga,2020/2021,24.03. 08:00,Nikopol,Nova Kakhovka,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Balkany,Peremoga Dnipro,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,17.12. 04:40,Al Urooba,Emirates Club,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Kremin,Hirnyk-Sport,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Mykolaiv,Alliance,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Dynamo Kiev U21,Inhulets U21,2020-12-15
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Lviv,Dyn. Kyiv,2020-12-15
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Mariupol,Dnipro-1,2020-12-15
football,Ukraine,Druha Liga,2020/2021,27.03. 08:00,Bukovyna,Dinaz Vyshgorod,2020-12-15
football,United Arab Emirates,Division 1,2020/2021,18.12. 04:40,Dibba Al Fujairah,Al-Taawon,2020-12-15
football,Ukraine,Persha Liga,2020/2021,26.03. 08:30,Nyva Ternopil,Volyn Lutsk,2020-12-15
football,Ukraine,Youth League,2020/2021,23.04. 05:00,Kolos Kovalivka U21,Vorskla Poltava U21,2020-12-15
football,Ukraine,Premier League,2020/2021,27.02. 07:00,Minaj,Olimpik Donetsk,2020-12-15
